,movie_id,movie_date,movie_condition,movie_index,cell_id,cell_mean_speed,cell_initial_distance
0,22,220,Water,1,0,1.1228975087540015e-31,83.46482830776448
1,22,220,Water,1,1,0.10861737798141424,173.0976095247613
2,22,220,Water,1,2,0.1326967511217458,61.03412813711394
3,22,220,Water,1,3,0.016111705223887458,120.20466195587544
4,22,220,Water,1,4,0.027220647368686374,139.70317402273432
5,22,220,Water,1,5,0.09994029806002779,514.4369622395856
6,22,220,Water,1,6,0.13987314096338904,537.4403413415649
7,22,220,Water,1,7,0.0780694261017251,522.0868833327434
8,22,220,Water,1,8,0.012129839398502412,536.375696534148
9,22,220,Water,1,9,0.025623673883806458,529.8526774315978
10,22,220,Water,1,10,0.008857942539104163,1040.5977181161015
11,22,220,Water,1,11,0.08396687837136237,989.8016343802996
12,22,220,Water,1,12,0.08016658868881815,915.8047938867123
13,22,220,Water,1,13,0.05931892754681493,954.7950537161058
14,22,220,Water,1,14,0.09112698526392043,950.6803863927848
15,6,220,Apyrase,1,0,0.042925300284331745,76.70312876822393
16,6,220,Apyrase,1,1,0.05354439439611269,110.08115828029095
17,6,220,Apyrase,1,2,0.05199855037600904,165.7908374564663
18,6,220,Apyrase,1,3,0.03059630713145792,206.24071720508837
19,6,220,Apyrase,1,4,0.06448109573737251,121.1172936627367
20,6,220,Apyrase,1,5,0.05337714706607034,403.93795485878394
21,6,220,Apyrase,1,6,0.027957469897480988,439.97026469166246
22,6,220,Apyrase,1,7,0.03603777800809984,464.8601103086796
23,6,220,Apyrase,1,8,0.054149259041020345,455.45132459460524
24,6,220,Apyrase,1,9,0.0637733331543861,429.46221959389885
25,6,220,Apyrase,1,10,0.04945917475755406,474.4338821903098
26,6,220,Apyrase,1,11,0.067342887304293,755.8657176062152
27,6,220,Apyrase,1,12,0.06493740701289115,821.8538985252964
28,6,220,Apyrase,1,13,0.045636217197922,712.57592891651
29,6,220,Apyrase,1,14,0.07174385929741178,850.944014361848
30,6,220,Apyrase,1,15,0.07679504634991069,817.2795940991421
31,26,401,Water,1,0,0.08019224779226954,152.1767015846334
32,26,401,Water,1,1,0.09117541656172111,127.32872714694084
33,26,401,Water,1,2,0.08140623288058907,78.22483423408032
34,26,401,Water,1,3,0.08542276233021226,129.57879644027628
35,26,401,Water,1,4,0.10634668040100824,123.70325574155557
36,26,401,Water,1,5,0.08703129364890093,457.82343098232974
37,26,401,Water,1,6,0.06554105256924599,503.40028066617947
38,26,401,Water,1,7,0.07770597037091008,493.6068202010108
39,26,401,Water,1,8,0.07243103670846164,452.18776917824187
40,26,401,Water,1,9,0.07359133853307284,429.3707369287895
41,26,401,Water,1,10,0.039471722940436445,869.5637217567319
42,26,401,Water,1,11,0.06971652750365605,805.9949999760981
43,26,401,Water,1,12,0.06379671018371952,885.5418062923403
44,26,401,Water,1,13,0.04579550504856937,660.4349593104769
45,26,401,Water,1,14,0.05486770952661775,857.8796595207879
46,26,401,Water,1,15,0.0012126541115444075,688.5795292432482
47,28,401,Apyrase,1,0,0.0446525372726515,120.87351083704425
48,28,401,Apyrase,1,1,0.032823967559954786,86.05085227382678
49,28,401,Apyrase,1,2,0.04303813472365736,111.78176001410223
50,28,401,Apyrase,1,3,0.0864807106187715,112.1339962056272
51,28,401,Apyrase,1,4,0.07694941695727538,176.03538018930735
52,28,401,Apyrase,1,5,0.04718903369611148,453.16700222706294
53,28,401,Apyrase,1,6,0.0423893337239992,418.2089311185838
54,28,401,Apyrase,1,7,0.06167114865024559,398.3558007466915
55,28,401,Apyrase,1,8,0.05349715232443113,562.2359092043885
56,28,401,Apyrase,1,9,0.0220253062652005,634.1547863862287
57,28,401,Apyrase,1,10,0.029138239493099613,700.1868347752361
58,28,401,Apyrase,1,11,0.03624850558583802,816.3355051929545
59,28,401,Apyrase,1,12,0.047212119972512546,766.2684699875994
60,28,401,Apyrase,1,13,0.06171264055938562,721.281640166172
61,28,401,Apyrase,1,14,0.0348835707780001,993.4901028902856
62,4,402,Water,1,0,0.12645855344744397,155.28878794227998
63,4,402,Water,1,1,0.12089248009647875,193.688405641979
64,4,402,Water,1,2,0.0899844977205295,193.72172984857997
65,4,402,Water,1,3,0.13183208211160954,252.2932446310844
66,4,402,Water,1,4,0.1170190901868935,284.3568411779563
67,4,402,Water,1,5,0.11415914355322444,431.2406557610164
68,4,402,Water,1,6,0.12164567428764496,511.5708398858126
69,4,402,Water,1,7,0.11265441599453851,595.2640401203129
70,4,402,Water,1,8,0.0979867446853628,407.2394710266073
71,4,402,Water,1,9,0.09441750912857394,402.01065500645575
72,4,402,Water,1,10,0.11830239853952519,781.6038529934292
73,4,402,Water,1,11,0.1263093407299913,851.5146000299089
74,4,402,Water,1,12,0.11063102433222015,780.5869547093589
75,4,402,Water,1,13,0.1297723310589115,883.4947762416233
76,4,402,Water,1,14,0.11550325606990135,838.8900173134834
77,24,402,Apyrase,1,0,0.10595850392713431,108.89494642420823
78,24,402,Apyrase,1,1,0.12380812467284175,129.73781587603176
79,24,402,Apyrase,1,2,0.059415084196863116,175.5937167567985
80,24,402,Apyrase,1,3,0.09766677136774882,109.17873215134999
81,24,402,Apyrase,1,4,0.09084438742219893,115.80810454799189
82,24,402,Apyrase,1,5,0.08358676607723413,465.1260709047399
83,24,402,Apyrase,1,6,0.0811045799979421,433.1925569332696
84,24,402,Apyrase,1,7,0.06477050651014049,392.46902041571104
85,24,402,Apyrase,1,8,0.08825472503596875,443.2455398315278
86,24,402,Apyrase,1,9,0.0843744737924493,440.41046348370253
87,24,402,Apyrase,1,10,0.07584216530539675,866.075624012149
88,24,402,Apyrase,1,11,0.06618451276573747,831.1471984671817
